,GeoFIPS,GeoName,TableName,ComponentName,Unit,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1," ""35620"" ","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,973620.8,991056.9,1014754.4,1074141.6,1149443.2,1216007.6,1270753.3,1257147.7,1276469.8,1338450.7,1363858.9,1439232.6,1477043.4,1542763.2,1618365.7,1662671.3,1717712.2
2," ""31080"" ","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,534377.6,560811.5,595620.2,637514.2,676588.1,724447.3,753117.7,772747.1,741630,763975.9,782565.1,820862.6,852034.2,901979.9,967100.1,996431.8,1043735.1
3," ""16980"" ","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,414434.9,423185.6,436293.3,460632.2,486302,513060.6,534764.5,528040.3,516755.6,529003.7,547625.6,578015.6,585947.7,608805,639032.8,657588.7,679699.1
4," ""19100"" ","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,261365.6,269330.8,273672.5,287848,310849.2,335925.7,352676.1,370166.8,347522.9,368480.4,392005.3,417064.9,448178.1,475929.3,491878.7,503666.7,535499.4
5," ""26420"" ","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,223796.8,221910.3,241754.9,277872.2,303527.9,338729.6,380315.3,394059.2,370247.2,392519.8,430922.3,462299.4,488429.6,507183.1,494837.4,472331.3,490074.4
6," ""47900"" ","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,270726.6,285946.4,304711,331372.3,355346.7,372606.9,389906.6,402883.1,410671,431290.4,443992.9,454224.2,459268.5,471254.3,491778.5,509598.7,529990.5
7," ""33100"" ","Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,187604.5,197231.5,206547.2,222851.4,248624.4,263864.6,270390.1,261594.7,244409.2,250428.6,254342.7,266563.4,268198.5,292308.5,315623.5,330784.1,344881.7
8," ""37980"" ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,248274.7,256645.2,270351.3,286874.7,300290.9,316234.2,333873.6,340758.3,340837.2,348583.4,355924.4,370051.5,389787.5,400621.4,418605.4,431383.6,444975.2
9," ""12060"" ","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,213481.5,217842.1,224659.5,235705.4,251756.2,265111.1,279937.7,277881.5,269570.8,272318.3,280676.8,291481.1,307750,326501.7,347603.9,369805.9,385542.3
10," ""14460"" ","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,239682.7,243400.4,252262.6,265921.2,277995.3,291910.1,310193.2,314505.3,313937.8,328480.5,339856.9,355584.7,364803.6,380768.8,407675.1,419783.3,438683.9
11," ""38060"" ","Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,126657.9,132517.3,141502.7,151546.2,169603.8,186247.5,196302.8,191628.3,177614.9,180085.8,186383.3,195629.6,199870.6,209595.9,221570.1,231011.3,242950.6
12," ""41860"" ","San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,247057.8,249020.8,255820.1,269144.2,295077.5,316139.9,337631.4,353338.8,331326,330153.6,340757.4,366151.4,385451.5,413026.5,445123.5,475416.6,500710.1
13," ""40140"" ","Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",MAGDP2,Gross domestic product (GDP) by metropolitan area,Millions of current dollars,All industry total,74452.9,81209.5,89526.3,101560.3,112402.3,119481.8,120758.1,119986.7,112026.1,114208.9,119301,120470.1,127771,133909,144079.1,150575.6,157931
