GeoName,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",0.017908512,0.023911342,0.058523718,0.070103979,0.057910126,0.045020853,-0.01070672,0.015369793,0.048556495,0.018983292,0.055265028,0.026271501,0.044494156,0.049004604,0.027376754,0.033103897
"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",0.049466707,0.062068449,0.070336768,0.061291027,0.070736095,0.03957555,0.026064186,-0.040268155,0.030130793,0.024332181,0.048938421,0.037974199,0.058619361,0.072196953,0.030329539,0.047472692
"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",0.021114776,0.03097388,0.055785638,0.055727324,0.055024655,0.0423028,-0.012574133,-0.021370907,0.02370192,0.035201833,0.055494119,0.013722986,0.039009113,0.049651038,0.029037477,0.033623449
"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",0.030475319,0.016120325,0.051797312,0.079907451,0.080670949,0.049863407,0.049594231,-0.061172153,0.060305378,0.063843016,0.063926687,0.07460038,0.061920027,0.03351212,0.023965258,0.063201915
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",-0.008429522,0.089426223,0.149396351,0.092329135,0.115975171,0.122769607,0.036138173,-0.060427469,0.060156025,0.097835829,0.072813823,0.056522245,0.038395503,-0.024341702,-0.045481809,0.037564946
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",0.05621834,0.065622788,0.087497005,0.072348835,0.048572844,0.046428824,0.033281047,0.019330421,0.050209048,0.029452313,0.023043837,0.011105309,0.026097588,0.043552282,0.036236232,0.040015408
"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",0.0513154,0.047232313,0.078936921,0.115651057,0.061298087,0.024730487,-0.032528558,-0.065695138,0.024628369,0.015629605,0.048048165,0.006134,0.089896103,0.079761622,0.048033812,0.042618735
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",0.033714672,0.053404856,0.061118256,0.046766759,0.053092851,0.055779546,0.020620678,0.000231542,0.022726979,0.021059523,0.039691294,0.053333117,0.027794375,0.044890263,0.030525645,0.031506993
"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",0.020426126,0.031295145,0.049167295,0.06809687,0.053046956,0.055925987,-0.007345206,-0.029907353,0.010192128,0.030693861,0.038493741,0.055814597,0.0609316,0.06463121,0.06387155,0.042553134
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",0.015510923,0.036409965,0.054144372,0.045404804,0.050054084,0.062632639,0.013901336,-0.001804421,0.046323507,0.034633411,0.046277713,0.025926031,0.043763823,0.07066309,0.029700612,0.045024659
"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",0.046261623,0.067805487,0.070977444,0.119155743,0.098132825,0.053988913,-0.023812702,-0.07312803,0.013911558,0.034969442,0.049609058,0.021678723,0.048657982,0.057129934,0.042610442,0.051682753
"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",0.007945509,0.027304145,0.052083867,0.096354668,0.071379214,0.067980979,0.046522332,-0.062299413,-0.003538509,0.032117778,0.074522226,0.052710709,0.07153948,0.077711721,0.068055495,0.053202812
"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",0.090749991,0.102411664,0.134418601,0.106754312,0.062983587,0.010681962,-0.006387977,-0.066345687,0.019484745,0.044585842,0.009799583,0.060603419,0.04803907,0.075947845,0.045089815,0.048848552
"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",0.028860642,0.04106623,0.014363492,0.036900903,-0.015627931,0.014130547,-0.051517615,-0.076568055,0.061611456,0.046737921,0.045793759,0.021628042,0.041181803,0.056454746,0.033570082,0.040657269
