SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
0,102001,United States,Country,,422014,417549,377307,362316,371737,383754,407437,403832,392578,412380,402799,381638,387998,382596,390456,421173,412187,398748,409715,390796,374059,382028,382980,391116,396106,378604,382987,406671,389874,381302,395785,395758,402799,388791,371475,378454,376119,385066,400955,381929,367034,377175,383824,393521,382335,359292,363186,361353,341749,338535,354926,377955,395417,379397,362269,372967,364933,349795,356222,369759,391589,400043,379106,373371,392696,387816,3.72E+05,371690,384940,403018
1,394913,"New York, NY",Msa,NY,22802,22322,20681,19920,19437,19923,21485,21086,20312,21942,22191,21074,22419,23164,22102,21926,21075,20682,21432,20857,20629,21267,21253,21309,20674,18707,19330,22600,23335,22638,21931,20786,20963,20674,20146,20540,19894,19705,20758,20130,19133,19492,20022,20875,20254,18900,19729,20250,18585,17109,17611,18889,19407,18696,18064,18538,18178,17284,17499,18303,20473,21450,19019,18216,19455,19265,18632,18596,19219,19996
2,753899,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8919,8306,8337,8812,8476,8054,8276,8684,9067
3,394463,"Chicago, IL",Msa,IL,12036,11830,10173,9639,10156,10501,11353,11604,11225,11565,11449,10857,10653,10430,10979,12221,12220,12012,12369,11686,11069,11334,11529,11998,12260,11580,12077,13370,12628,11902,12041,11795,12050,11953,11361,11170,11186,11784,12294,11645,11179,11451,11487,11566,11314,10721,10613,10505,10447,10946,11328,11533,11958,11441,10700,11077,11066,10515,10332,10608,11497,12328,12075,11540,11799,11479,10828,10990,11410,11919
4,394514,"Dallas-Fort Worth, TX",Msa,TX,8859,9216,8625,8214,8170,8234,8590,8287,7938,8316,8064,7673,7909,7889,8178,8734,8489,8588,9428,9120,8011,7757,7936,8024,8142,8024,7788,7839,7493,7531,8197,8289,8400,8214,7874,7775,7257,7033,7101,6523,6205,6589,6917,7307,7448,7375,7557,7432,6884,6619,6780,7257,7756,7597,7654,8496,8738,8370,8305,8575,9060,9335,9390,9799,10248,9840,8956,8578,8860,9006
5,394974,"Philadelphia, PA",Msa,PA,7630,7702,6878,6522,7232,7828,7569,6997,6836,7291,7528,7327,6970,6563,7075,7955,7568,7199,7537,7359,7282,7410,7160,7124,7182,7059,7340,7941,7805,7498,7556,7528,7746,7647,7387,7356,7117,7368,7831,7267,6560,6720,7177,7531,7383,7077,7172,7095,6863,6897,7123,7463,7646,7311,7132,7437,7301,7052,7151,7256,7672,7758,7014,6842,7294,7158,6928,7019,7204,7513
6,394692,"Houston, TX",Msa,TX,8400,8725,8041,7555,7718,7933,8450,8443,8151,8316,7981,7665,7863,7796,8214,9024,8507,8021,8558,8234,7660,7860,8048,8217,8276,7772,7603,7987,7488,7280,7974,8379,8660,8260,7859,7997,7752,7885,8023,7173,6989,7654,8015,8326,8050,7611,7790,7644,7228,7455,8108,8720,9076,8583,7725,7308,7188,7433,7793,7971,8258,8579,8504,8386,8602,8274,7823,7817,7921,8186
7,395209,"Washington, DC",Msa,VA,6223,6081,5193,4775,5037,5336,5878,6003,5915,6380,6543,6393,6314,5959,6184,7071,7038,6698,6876,6635,6418,6556,6499,6596,6716,6396,6781,7811,7596,7133,7275,7366,7582,7284,6792,6629,6356,6799,7689,7329,6760,7005,7112,7106,6898,6590,6645,6543,6273,6360,6444,6538,7003,6906,6510,6667,6619,6527,6703,6933,7658,8331,8154,7777,7549,7006,6703,6748,6831,7137
8,394856,"Miami-Fort Lauderdale, FL",Msa,FL,15814,15586,15033,14280,13744,14438,15627,15349,14159,14784,14869,13811,13741,13293,13975,15183,14174,13545,13941,13282,12660,12627,12588,13227,12774,10900,10832,11795,11597,11739,12107,12256,12897,12235,11280,11464,11576,12059,12664,12066,11384,11327,11335,11863,11550,10578,10729,10916,10144,9677,10745,11775,11614,10883,10528,9936,8662,8924,10070,10986,11774,11906,11747,11511,11517,11115,10417,10541,11282,11869
9,394347,"Atlanta, GA",Msa,GA,8793,8322,7032,6562,6872,7295,7801,7746,7788,8214,7966,7961,8222,8012,8218,8693,8512,8376,8580,8163,7986,8300,8434,9031,9287,9015,9520,9787,8996,9056,9956,10075,9788,9040,8401,8744,8896,8958,9339,9389,9653,9845,9446,9523,9457,8736,8478,8505,8355,8401,8729,9288,9735,9291,8754,8745,8399,8025,8151,8645,9273,9077,8259,8301,8881,8772,8540,8761,9142,9546
