DATE,CUURA103SA0L1E
1982-01-01,91.900
1982-02-01,.
1982-03-01,90.300
1982-04-01,.
1982-05-01,92.400
1982-06-01,.
1982-07-01,94.500
1982-08-01,.
1982-09-01,96.600
1982-10-01,.
1982-11-01,97.500
1982-12-01,.
1983-01-01,98.500
1983-02-01,.
1983-03-01,98.800
1983-04-01,.
1983-05-01,99.200
1983-06-01,.
1983-07-01,99.800
1983-08-01,.
1983-09-01,100.700
1983-10-01,.
1983-11-01,102.000
1983-12-01,.
1984-01-01,102.700
1984-02-01,.
1984-03-01,104.700
1984-04-01,.
1984-05-01,105.300
1984-06-01,.
1984-07-01,106.000
1984-08-01,.
1984-09-01,107.300
1984-10-01,.
1984-11-01,107.800
1984-12-01,.
1985-01-01,108.200
1985-02-01,.
1985-03-01,110.700
1985-04-01,.
1985-05-01,111.000
1985-06-01,.
1985-07-01,111.900
1985-08-01,.
1985-09-01,113.900
1985-10-01,.
1985-11-01,115.200
1985-12-01,.
1986-01-01,115.500
1986-02-01,.
1986-03-01,116.900
1986-04-01,.
1986-05-01,117.000
1986-06-01,.
1986-07-01,117.100
1986-08-01,.
1986-09-01,119.400
1986-10-01,.
1986-11-01,120.300
1986-12-01,.
1987-01-01,121.300
1987-02-01,.
1987-03-01,122.600
1987-04-01,.
1987-05-01,121.600
1987-06-01,.
1987-07-01,122.600
1987-08-01,.
1987-09-01,126.700
1987-10-01,.
1987-11-01,127.200
1987-12-01,.
1988-01-01,127.200
1988-02-01,.
1988-03-01,130.200
1988-04-01,.
1988-05-01,131.300
1988-06-01,.
1988-07-01,131.800
1988-08-01,.
1988-09-01,134.400
1988-10-01,.
1988-11-01,135.900
1988-12-01,.
1989-01-01,137.600
1989-02-01,.
1989-03-01,138.000
1989-04-01,.
1989-05-01,138.700
1989-06-01,.
1989-07-01,137.900
1989-08-01,.
1989-09-01,140.500
1989-10-01,.
1989-11-01,142.700
1989-12-01,.
1990-01-01,143.300
1990-02-01,.
1990-03-01,144.000
1990-04-01,.
1990-05-01,145.700
1990-06-01,.
1990-07-01,146.800
1990-08-01,.
1990-09-01,149.900
1990-10-01,.
1990-11-01,150.800
1990-12-01,.
1991-01-01,151.500
1991-02-01,.
1991-03-01,152.900
1991-04-01,.
1991-05-01,152.800
1991-06-01,.
1991-07-01,155.100
1991-08-01,.
1991-09-01,156.900
1991-10-01,.
1991-11-01,155.900
1991-12-01,.
1992-01-01,155.700
1992-02-01,.
1992-03-01,158.200
1992-04-01,.
1992-05-01,158.800
1992-06-01,.
1992-07-01,160.200
1992-08-01,.
1992-09-01,161.000
1992-10-01,.
1992-11-01,160.800
1992-12-01,.
1993-01-01,162.600
1993-02-01,.
1993-03-01,165.600
1993-04-01,.
1993-05-01,163.600
1993-06-01,.
1993-07-01,164.300
1993-08-01,.
1993-09-01,163.900
1993-10-01,.
1993-11-01,165.700
1993-12-01,.
1994-01-01,164.600
1994-02-01,.
1994-03-01,166.200
1994-04-01,.
1994-05-01,165.400
1994-06-01,.
1994-07-01,165.400
1994-08-01,.
1994-09-01,167.300
1994-10-01,.
1994-11-01,167.700
1994-12-01,.
1995-01-01,168.600
1995-02-01,.
1995-03-01,169.800
1995-04-01,.
1995-05-01,169.900
1995-06-01,.
1995-07-01,170.100
1995-08-01,.
1995-09-01,171.200
1995-10-01,.
1995-11-01,172.100
1995-12-01,.
1996-01-01,174.000
1996-02-01,.
1996-03-01,174.400
1996-04-01,.
1996-05-01,174.000
1996-06-01,.
1996-07-01,174.400
1996-08-01,.
1996-09-01,176.300
1996-10-01,.
1996-11-01,178.100
1996-12-01,.
1997-01-01,179.400
1997-02-01,.
1997-03-01,180.000
1997-04-01,.
1997-05-01,179.900
1997-06-01,.
1997-07-01,180.600
1997-08-01,.
1997-09-01,181.000
1997-10-01,.
1997-11-01,182.100
1997-12-01,.
1998-01-01,184.200
1998-02-01,.
1998-03-01,185.200
1998-04-01,.
1998-05-01,185.600
1998-06-01,.
1998-07-01,185.200
1998-08-01,.
1998-09-01,187.200
1998-10-01,.
1998-11-01,187.600
1998-12-01,.
1999-01-01,188.600
1999-02-01,.
1999-03-01,190.000
1999-04-01,.
1999-05-01,189.100
1999-06-01,.
1999-07-01,190.300
1999-08-01,.
1999-09-01,191.800
1999-10-01,.
1999-11-01,193.600
1999-12-01,.
2000-01-01,194.400
2000-02-01,.
2000-03-01,196.700
2000-04-01,.
2000-05-01,195.900
2000-06-01,.
2000-07-01,196.500
2000-08-01,.
2000-09-01,197.700
2000-10-01,.
2000-11-01,200.600
2000-12-01,.
2001-01-01,202.100
2001-02-01,.
2001-03-01,203.800
2001-04-01,.
2001-05-01,203.800
2001-06-01,.
2001-07-01,204.900
2001-08-01,.
2001-09-01,206.700
2001-10-01,.
2001-11-01,207.500
2001-12-01,.
2002-01-01,208.600
2002-02-01,.
2002-03-01,211.100
2002-04-01,.
2002-05-01,211.300
2002-06-01,.
2002-07-01,212.500
2002-08-01,.
