DATE,CUURA207SA0L1E
1982-01-01,90.500
1982-02-01,90.300
1982-03-01,91.200
1982-04-01,93.000
1982-05-01,95.800
1982-06-01,96.600
1982-07-01,97.100
1982-08-01,97.500
1982-09-01,98.000
1982-10-01,98.700
1982-11-01,98.700
1982-12-01,97.900
1983-01-01,98.200
1983-02-01,98.200
1983-03-01,98.400
1983-04-01,98.700
1983-05-01,99.000
1983-06-01,99.100
1983-07-01,99.800
1983-08-01,100.500
1983-09-01,100.900
1983-10-01,101.700
1983-11-01,102.300
1983-12-01,102.500
1984-01-01,102.600
1984-02-01,102.300
1984-03-01,102.700
1984-04-01,103.300
1984-05-01,103.700
1984-06-01,104.400
1984-07-01,104.700
1984-08-01,105.200
1984-09-01,106.100
1984-10-01,106.600
1984-11-01,106.700
1984-12-01,107.000
1985-01-01,107.400
1985-02-01,107.900
1985-03-01,108.000
1985-04-01,109.000
1985-05-01,109.300
1985-06-01,109.200
1985-07-01,109.300
1985-08-01,110.200
1985-09-01,110.500
1985-10-01,110.700
1985-11-01,110.900
1985-12-01,111.300
1986-01-01,111.500
1986-02-01,112.100
1986-03-01,112.100
1986-04-01,112.800
1986-05-01,112.800
1986-06-01,112.800
1986-07-01,113.600
1986-08-01,113.700
1986-09-01,114.600
1986-10-01,115.400
1986-11-01,116.000
1986-12-01,115.900
1987-01-01,116.300
1987-02-01,116.300
1987-03-01,117.100
1987-04-01,117.300
1987-05-01,118.100
1987-06-01,118.200
1987-07-01,118.800
1987-08-01,119.800
1987-09-01,120.300
1987-10-01,120.600
1987-11-01,121.500
1987-12-01,121.600
1988-01-01,121.200
1988-02-01,122.700
1988-03-01,123.100
1988-04-01,123.200
1988-05-01,122.900
1988-06-01,123.400
1988-07-01,124.100
1988-08-01,124.000
1988-09-01,126.700
1988-10-01,127.200
1988-11-01,127.000
1988-12-01,126.700
1989-01-01,127.100
1989-02-01,127.500
1989-03-01,128.800
1989-04-01,128.700
1989-05-01,129.100
1989-06-01,130.000
1989-07-01,131.000
1989-08-01,131.100
1989-09-01,132.100
1989-10-01,133.200
1989-11-01,133.100
1989-12-01,132.600
1990-01-01,133.100
1990-02-01,134.200
1990-03-01,135.200
1990-04-01,136.500
1990-05-01,136.500
1990-06-01,136.300
1990-07-01,136.900
1990-08-01,138.200
1990-09-01,138.700
1990-10-01,139.500
1990-11-01,140.300
1990-12-01,140.400
1991-01-01,140.600
1991-02-01,141.900
1991-03-01,142.800
1991-04-01,142.600
1991-05-01,143.100
1991-06-01,142.900
1991-07-01,143.200
1991-08-01,144.000
1991-09-01,144.900
1991-10-01,145.500
1991-11-01,146.000
1991-12-01,145.400
1992-01-01,146.100
1992-02-01,147.000
1992-03-01,147.600
1992-04-01,147.600
1992-05-01,148.000
1992-06-01,148.100
1992-07-01,148.900
1992-08-01,149.800
1992-09-01,150.100
1992-10-01,150.100
1992-11-01,150.100
1992-12-01,150.100
1993-01-01,150.500
1993-02-01,151.500
1993-03-01,152.000
1993-04-01,152.500
1993-05-01,153.200
1993-06-01,152.600
1993-07-01,152.700
1993-08-01,153.700
1993-09-01,154.600
1993-10-01,155.200
1993-11-01,155.400
1993-12-01,155.000
1994-01-01,155.200
1994-02-01,155.800
1994-03-01,156.600
1994-04-01,156.800
1994-05-01,156.800
1994-06-01,157.000
1994-07-01,157.200
