DATE,CUUSA213SA0L1E
1984-01-01,105.100
1985-01-01,108.300
1986-01-01,111.700
1987-01-01,117.100
1988-01-01,122.300
1989-01-01,127.000
1990-01-01,131.700
1991-01-01,137.900
1992-01-01,142.300
1993-01-01,146.300
1994-01-01,151.000
1995-01-01,155.900
1996-01-01,159.200
1997-01-01,161.800
1998-01-01,165.700
1999-01-01,170.100
2000-01-01,174.900
2001-01-01,178.700
2002-01-01,182.300
2003-01-01,184.500
2004-01-01,186.200
2005-01-01,189.200
2006-01-01,194.700
2007-01-01,199.072
2008-01-01,203.674
2009-01-01,206.932
2010-01-01,208.758
2011-01-01,212.718
2012-01-01,219.215
2013-01-01,223.738
2014-01-01,228.430
2015-01-01,231.640
2016-01-01,236.532
2017-01-01,238.137
