DATE,CUURA210SA0L1E
1982-02-01,87.400
1982-03-01,.
1982-04-01,87.900
1982-05-01,.
1982-06-01,91.100
1982-07-01,.
1982-08-01,97.100
1982-09-01,.
1982-10-01,98.700
1982-11-01,.
1982-12-01,99.100
1983-01-01,.
1983-02-01,100.000
1983-03-01,.
1983-04-01,100.000
1983-05-01,.
1983-06-01,100.900
1983-07-01,.
1983-08-01,101.600
1983-09-01,.
1983-10-01,104.000
1983-11-01,.
1983-12-01,104.000
1984-01-01,.
1984-02-01,104.000
1984-03-01,.
1984-04-01,104.600
1984-05-01,.
1984-06-01,105.400
1984-07-01,.
1984-08-01,105.800
1984-09-01,.
1984-10-01,106.900
1984-11-01,.
1984-12-01,107.300
1985-01-01,.
1985-02-01,107.600
1985-03-01,.
1985-04-01,107.900
1985-05-01,.
1985-06-01,109.000
1985-07-01,.
1985-08-01,109.600
1985-09-01,.
1985-10-01,110.800
1985-11-01,.
1985-12-01,111.000
1986-01-01,.
1986-02-01,112.200
1986-03-01,.
1986-04-01,112.600
1986-05-01,.
1986-06-01,112.800
1986-07-01,.
1986-08-01,114.300
1986-09-01,.
1986-10-01,114.800
1986-11-01,115.100
1986-12-01,114.300
1987-01-01,114.000
1987-02-01,.
1987-03-01,115.700
1987-04-01,.
1987-05-01,115.900
1987-06-01,.
1987-07-01,116.400
1987-08-01,.
1987-09-01,119.000
1987-10-01,.
1987-11-01,119.300
1987-12-01,.
1988-01-01,118.600
1988-02-01,.
1988-03-01,120.100
1988-04-01,.
1988-05-01,121.700
1988-06-01,.
1988-07-01,121.800
1988-08-01,.
1988-09-01,120.900
1988-10-01,.
1988-11-01,122.300
1988-12-01,.
1989-01-01,123.400
1989-02-01,.
1989-03-01,126.200
1989-04-01,.
1989-05-01,126.200
1989-06-01,.
1989-07-01,127.800
1989-08-01,.
1989-09-01,127.000
1989-10-01,.
1989-11-01,127.500
1989-12-01,.
1990-01-01,127.900
1990-02-01,.
1990-03-01,131.500
1990-04-01,.
1990-05-01,132.600
1990-06-01,.
1990-07-01,131.900
1990-08-01,.
1990-09-01,133.500
1990-10-01,.
1990-11-01,134.700
1990-12-01,.
1991-01-01,135.700
1991-02-01,.
1991-03-01,138.000
1991-04-01,.
1991-05-01,138.600
1991-06-01,.
1991-07-01,137.300
1991-08-01,.
1991-09-01,139.700
1991-10-01,.
1991-11-01,141.200
1991-12-01,.
1992-01-01,142.300
1992-02-01,.
1992-03-01,142.200
1992-04-01,.
1992-05-01,141.500
1992-06-01,.
1992-07-01,142.400
1992-08-01,.
1992-09-01,143.000
1992-10-01,.
1992-11-01,142.900
1992-12-01,.
1993-01-01,143.500
1993-02-01,.
1993-03-01,145.200
1993-04-01,.
1993-05-01,145.600
1993-06-01,.
1993-07-01,146.500
1993-08-01,.
1993-09-01,147.100
1993-10-01,.
1993-11-01,148.000
1993-12-01,.
1994-01-01,148.400
1994-02-01,.
1994-03-01,150.100
1994-04-01,.
1994-05-01,149.600
1994-06-01,.
1994-07-01,148.700
1994-08-01,.
1994-09-01,151.700
1994-10-01,.
1994-11-01,151.900
1994-12-01,.
1995-01-01,152.500
1995-02-01,.
1995-03-01,154.400
1995-04-01,.
1995-05-01,153.200
1995-06-01,.
1995-07-01,153.800
1995-08-01,.
1995-09-01,155.000
1995-10-01,.
1995-11-01,154.700
1995-12-01,.
1996-01-01,155.400
1996-02-01,.
1996-03-01,157.200
1996-04-01,.
1996-05-01,157.100
1996-06-01,.
1996-07-01,157.000
1996-08-01,.
1996-09-01,157.900
1996-10-01,.
1996-11-01,157.900
1996-12-01,.
1997-01-01,158.100
1997-02-01,.
1997-03-01,160.900
1997-04-01,.
1997-05-01,160.900
1997-06-01,.
1997-07-01,161.500
1997-08-01,.
1997-09-01,162.800
1997-10-01,.
1997-11-01,163.300
1997-12-01,.
1998-01-01,165.000
1998-02-01,.
1998-03-01,165.800
1998-04-01,.
1998-05-01,165.700
1998-06-01,.
1998-07-01,166.200
1998-08-01,.
1998-09-01,167.200
1998-10-01,.
1998-11-01,167.200
1998-12-01,.
1999-01-01,167.500
1999-02-01,.
1999-03-01,168.200
1999-04-01,.
1999-05-01,167.600
1999-06-01,.
1999-07-01,168.300
1999-08-01,.
1999-09-01,169.100
1999-10-01,.
1999-11-01,169.600
1999-12-01,.
2000-01-01,169.900
2000-02-01,.
2000-03-01,172.000
2000-04-01,.
2000-05-01,172.200
2000-06-01,.
2000-07-01,172.500
2000-08-01,.
2000-09-01,173.900
2000-10-01,.
2000-11-01,173.300
2000-12-01,.
2001-01-01,174.900
2001-02-01,.
2001-03-01,175.900
2001-04-01,.
2001-05-01,175.800
2001-06-01,.
2001-07-01,176.500
2001-08-01,.
2001-09-01,178.100
2001-10-01,.
2001-11-01,178.700
2001-12-01,.
2002-01-01,177.300
2002-02-01,.
2002-03-01,180.400
2002-04-01,.
2002-05-01,179.300
2002-06-01,.
2002-07-01,179.100
2002-08-01,.
2002-09-01,179.700
2002-10-01,.
2002-11-01,178.600
2002-12-01,.
2003-01-01,177.600
2003-02-01,.
2003-03-01,178.400
2003-04-01,.
2003-05-01,178.900
2003-06-01,.
2003-07-01,179.000
2003-08-01,.
2003-09-01,180.500
2003-10-01,.
2003-11-01,181.900
2003-12-01,.
2004-01-01,181.100
2004-02-01,.
2004-03-01,183.100
2004-04-01,.
2004-05-01,183.000
2004-06-01,.
2004-07-01,183.400
2004-08-01,.
2004-09-01,185.000
2004-10-01,.
2004-11-01,185.200
2004-12-01,.
2005-01-01,184.700
2005-02-01,.
2005-03-01,187.200
2005-04-01,.
2005-05-01,186.900
2005-06-01,.
2005-07-01,186.300
2005-08-01,.
2005-09-01,187.000
2005-10-01,.
2005-11-01,187.900
2005-12-01,.
2006-01-01,187.300
2006-02-01,.
2006-03-01,188.900
2006-04-01,.
2006-05-01,188.800
2006-06-01,.
2006-07-01,188.400
2006-08-01,.
2006-09-01,188.500
2006-10-01,.
2006-11-01,190.300
2006-12-01,.
2007-01-01,191.289
2007-02-01,.
2007-03-01,193.337
2007-04-01,.
2007-05-01,192.196
2007-06-01,.
2007-07-01,192.419
2007-08-01,.
2007-09-01,193.578
2007-10-01,.
2007-11-01,194.067
2007-12-01,.
2008-01-01,195.934
2008-02-01,.
2008-03-01,197.832
2008-04-01,.
2008-05-01,196.557
2008-06-01,.
2008-07-01,195.856
2008-08-01,.
2008-09-01,196.841
2008-10-01,.
2008-11-01,196.336
2008-12-01,.
2009-01-01,196.600
2009-02-01,.
2009-03-01,199.146
2009-04-01,.
2009-05-01,199.410
2009-06-01,.
2009-07-01,198.915
2009-08-01,.
2009-09-01,201.179
2009-10-01,.
2009-11-01,200.156
2009-12-01,.
2010-01-01,200.665
2010-02-01,.
2010-03-01,201.343
2010-04-01,.
2010-05-01,201.392
2010-06-01,.
2010-07-01,201.366
2010-08-01,.
2010-09-01,203.047
2010-10-01,.
2010-11-01,203.381
2010-12-01,.
2011-01-01,203.547
2011-02-01,.
2011-03-01,203.750
2011-04-01,.
2011-05-01,205.122
2011-06-01,.
2011-07-01,205.261
2011-08-01,.
2011-09-01,207.614
2011-10-01,.
2011-11-01,206.637
2011-12-01,.
2012-01-01,207.223
2012-02-01,.
2012-03-01,208.962
2012-04-01,.
2012-05-01,209.634
2012-06-01,.
2012-07-01,209.554
2012-08-01,.
2012-09-01,211.382
2012-10-01,.
2012-11-01,210.715
2012-12-01,.
2013-01-01,210.526
2013-02-01,.
2013-03-01,211.375
2013-04-01,.
2013-05-01,212.242
2013-06-01,.
2013-07-01,214.243
2013-08-01,.
2013-09-01,214.512
2013-10-01,.
2013-11-01,213.664
2013-12-01,.
2014-01-01,213.493
2014-02-01,.
2014-03-01,215.249
2014-04-01,.
2014-05-01,215.759
2014-06-01,.
2014-07-01,217.056
2014-08-01,.
2014-09-01,217.178
2014-10-01,.
2014-11-01,217.500
2014-12-01,.
2015-01-01,218.248
2015-02-01,.
2015-03-01,219.806
2015-04-01,.
2015-05-01,220.593
2015-06-01,.
2015-07-01,221.936
2015-08-01,.
2015-09-01,220.492
2015-10-01,.
2015-11-01,219.817
2015-12-01,.
2016-01-01,220.285
2016-02-01,.
2016-03-01,221.749
2016-04-01,.
2016-05-01,223.187
2016-06-01,.
2016-07-01,224.018
2016-08-01,.
2016-09-01,223.189
2016-10-01,.
2016-11-01,223.391
2016-12-01,.
2017-01-01,223.853
2017-02-01,.
