DATE,CUURA311SA0L1E
1996-11-01,100.000
1996-12-01,.
1997-01-01,100.300
1997-02-01,.
1997-03-01,100.900
1997-04-01,.
1997-05-01,100.900
1997-06-01,.
1997-07-01,101.100
1997-08-01,.
1997-09-01,101.100
1997-10-01,.
1997-11-01,100.500
1997-12-01,.
1998-01-01,101.300
1998-02-01,.
1998-03-01,102.600
1998-04-01,.
1998-05-01,102.300
1998-06-01,.
1998-07-01,103.000
1998-08-01,.
1998-09-01,103.300
1998-10-01,.
1998-11-01,103.500
1998-12-01,.
1999-01-01,103.900
1999-02-01,.
1999-03-01,104.300
1999-04-01,.
1999-05-01,104.300
1999-06-01,.
1999-07-01,104.800
1999-08-01,.
1999-09-01,105.500
1999-10-01,.
1999-11-01,105.500
1999-12-01,.
2000-01-01,105.800
2000-02-01,.
2000-03-01,107.200
2000-04-01,.
2000-05-01,106.600
2000-06-01,.
2000-07-01,107.200
2000-08-01,.
2000-09-01,107.700
2000-10-01,.
2000-11-01,108.200
2000-12-01,.
2001-01-01,108.900
2001-02-01,.
2001-03-01,109.800
2001-04-01,.
2001-05-01,109.500
2001-06-01,.
2001-07-01,110.100
2001-08-01,.
2001-09-01,111.600
2001-10-01,.
2001-11-01,112.100
2001-12-01,.
2002-01-01,112.200
2002-02-01,.
2002-03-01,113.100
2002-04-01,.
2002-05-01,113.400
2002-06-01,.
2002-07-01,113.500
2002-08-01,.
2002-09-01,114.600
2002-10-01,.
2002-11-01,114.800
2002-12-01,.
2003-01-01,115.300
2003-02-01,.
2003-03-01,116.100
2003-04-01,.
2003-05-01,116.200
2003-06-01,.
2003-07-01,116.700
2003-08-01,.
2003-09-01,116.700
2003-10-01,.
2003-11-01,116.900
2003-12-01,.
2004-01-01,116.800
2004-02-01,.
2004-03-01,117.800
2004-04-01,.
2004-05-01,117.800
2004-06-01,.
2004-07-01,118.500
2004-08-01,.
2004-09-01,119.500
2004-10-01,.
2004-11-01,119.700
2004-12-01,.
2005-01-01,120.700
2005-02-01,.
2005-03-01,121.700
2005-04-01,.
2005-05-01,122.300
2005-06-01,.
2005-07-01,122.700
2005-08-01,.
2005-09-01,122.600
2005-10-01,.
2005-11-01,123.000
2005-12-01,.
2006-01-01,123.900
2006-02-01,.
2006-03-01,124.800
2006-04-01,.
2006-05-01,125.600
2006-06-01,.
2006-07-01,126.500
2006-08-01,.
2006-09-01,127.100
2006-10-01,.
2006-11-01,127.600
2006-12-01,.
2007-01-01,128.109
2007-02-01,.
2007-03-01,129.681
2007-04-01,.
2007-05-01,129.557
2007-06-01,.
2007-07-01,129.677
2007-08-01,.
2007-09-01,130.189
2007-10-01,.
2007-11-01,130.028
2007-12-01,.
2008-01-01,131.177
2008-02-01,.
2008-03-01,132.732
2008-04-01,.
2008-05-01,133.045
2008-06-01,.
2008-07-01,133.585
2008-08-01,.
2008-09-01,134.750
2008-10-01,.
2008-11-01,134.387
2008-12-01,.
2009-01-01,134.285
2009-02-01,.
2009-03-01,135.413
2009-04-01,.
2009-05-01,135.831
2009-06-01,.
2009-07-01,136.320
2009-08-01,.
2009-09-01,136.489
2009-10-01,.
2009-11-01,136.370
2009-12-01,.
2010-01-01,136.661
2010-02-01,.
2010-03-01,137.402
2010-04-01,.
2010-05-01,137.435
2010-06-01,.
2010-07-01,137.560
2010-08-01,.
2010-09-01,138.475
2010-10-01,.
2010-11-01,138.812
2010-12-01,.
2011-01-01,139.337
2011-02-01,.
2011-03-01,140.105
2011-04-01,.
2011-05-01,140.563
2011-06-01,.
2011-07-01,141.411
2011-08-01,.
2011-09-01,141.510
2011-10-01,.
2011-11-01,142.048
2011-12-01,.
2012-01-01,142.550
2012-02-01,.
2012-03-01,143.884
2012-04-01,.
2012-05-01,144.234
2012-06-01,.
2012-07-01,144.176
2012-08-01,.
2012-09-01,145.511
2012-10-01,.
2012-11-01,145.333
2012-12-01,.
2013-01-01,145.714
2013-02-01,.
2013-03-01,146.274
2013-04-01,.
2013-05-01,146.375
2013-06-01,.
2013-07-01,146.679
2013-08-01,.
2013-09-01,147.842
2013-10-01,.
2013-11-01,148.218
2013-12-01,.
2014-01-01,148.171
2014-02-01,.
2014-03-01,149.016
2014-04-01,.
2014-05-01,149.330
2014-06-01,.
2014-07-01,149.386
2014-08-01,.
2014-09-01,150.349
2014-10-01,.
2014-11-01,150.752
2014-12-01,.
2015-01-01,150.113
2015-02-01,.
2015-03-01,151.879
2015-04-01,.
2015-05-01,152.656
2015-06-01,.
2015-07-01,151.838
2015-08-01,.
2015-09-01,153.199
2015-10-01,.
2015-11-01,153.284
2015-12-01,.
2016-01-01,153.520
2016-02-01,.
2016-03-01,154.506
2016-04-01,.
2016-05-01,155.237
2016-06-01,.
2016-07-01,154.759
2016-08-01,.
2016-09-01,154.799
2016-10-01,.
2016-11-01,155.017
2016-12-01,.
2017-01-01,155.080
2017-02-01,.
2017-03-01,155.806
2017-04-01,.
2017-05-01,155.649
2017-06-01,.
2017-07-01,155.690
2017-08-01,.
2017-09-01,156.651
2017-10-01,.
2017-11-01,157.058
