DATE,CUUSA316SA0L1E
1984-01-01,104.800
1985-01-01,109.600
1986-01-01,114.100
1987-01-01,117.900
1988-01-01,121.100
1989-01-01,124.200
1990-01-01,129.900
1991-01-01,136.100
1992-01-01,139.800
1993-01-01,144.100
1994-01-01,148.300
1995-01-01,152.500
1996-01-01,156.400
1997-01-01,159.200
1998-01-01,162.600
1999-01-01,167.400
2000-01-01,173.000
2001-01-01,178.300
2002-01-01,182.200
2003-01-01,184.000
2004-01-01,183.800
2005-01-01,186.400
2006-01-01,189.400
2007-01-01,191.268
2008-01-01,196.303
2009-01-01,200.701
2010-01-01,200.650
2011-01-01,203.727
2012-01-01,208.325
2013-01-01,212.027
2014-01-01,214.634
2015-01-01,218.174
2016-01-01,223.877
2017-01-01,229.100
