DATE,CUUSA433SA0L1E
1984-01-01,105.000
1985-01-01,108.300
1986-01-01,111.100
1987-01-01,114.800
1988-01-01,118.500
1989-01-01,119.500
1990-01-01,124.200
1991-01-01,129.600
1992-01-01,135.100
1993-01-01,141.900
1994-01-01,148.800
1995-01-01,155.800
1996-01-01,161.900
1997-01-01,166.800
1998-01-01,171.700
1999-01-01,176.600
2000-01-01,182.700
2001-01-01,190.500
2002-01-01,196.400
2003-01-01,196.700
2004-01-01,194.400
2005-01-01,195.600
2006-01-01,203.500
2007-01-01,207.077
2008-01-01,212.803
2009-01-01,216.404
2010-01-01,219.360
2011-01-01,224.427
2012-01-01,228.915
2013-01-01,236.293
2014-01-01,243.203
2015-01-01,251.327
2016-01-01,261.375
2017-01-01,269.421
