DATE,CUURA208SA0L1E
1982-01-01,93.700
1982-02-01,92.200
1982-03-01,92.600
1982-04-01,95.500
1982-05-01,96.000
1982-06-01,96.400
1982-07-01,97.500
1982-08-01,97.800
1982-09-01,99.100
1982-10-01,99.400
1982-11-01,100.000
1982-12-01,98.500
1983-01-01,98.600
1983-02-01,98.600
1983-03-01,98.700
1983-04-01,98.600
1983-05-01,98.500
1983-06-01,98.500
1983-07-01,99.400
1983-08-01,100.300
1983-09-01,100.800
1983-10-01,101.000
1983-11-01,101.600
1983-12-01,101.500
1984-01-01,101.900
1984-02-01,102.200
1984-03-01,102.700
1984-04-01,103.000
1984-05-01,103.000
1984-06-01,103.000
1984-07-01,103.800
1984-08-01,103.900
1984-09-01,105.400
1984-10-01,105.700
1984-11-01,105.500
1984-12-01,105.100
1985-01-01,105.500
1985-02-01,106.500
1985-03-01,107.000
1985-04-01,107.000
1985-05-01,107.200
1985-06-01,106.900
1985-07-01,107.500
1985-08-01,108.500
1985-09-01,109.000
1985-10-01,109.700
1985-11-01,110.000
1985-12-01,109.600
1986-01-01,109.800
1986-02-01,110.700
1986-03-01,110.500
1986-04-01,110.700
1986-05-01,111.200
1986-06-01,110.400
1986-07-01,111.200
1986-08-01,111.900
1986-09-01,112.600
1986-10-01,113.100
1986-11-01,113.400
1986-12-01,113.400
1987-01-01,.
1987-02-01,114.000
1987-03-01,.
1987-04-01,115.300
1987-05-01,.
1987-06-01,114.300
1987-07-01,.
1987-08-01,115.500
1987-09-01,.
1987-10-01,118.400
1987-11-01,.
1987-12-01,117.000
1988-01-01,.
1988-02-01,118.500
1988-03-01,.
1988-04-01,119.100
1988-05-01,.
1988-06-01,119.900
1988-07-01,.
1988-08-01,122.400
1988-09-01,.
1988-10-01,123.800
1988-11-01,.
1988-12-01,123.400
1989-01-01,.
1989-02-01,125.300
1989-03-01,.
1989-04-01,126.200
1989-05-01,.
1989-06-01,126.500
1989-07-01,.
1989-08-01,126.700
1989-09-01,.
1989-10-01,130.100
1989-11-01,.
1989-12-01,129.900
1990-01-01,.
1990-02-01,131.300
1990-03-01,.
1990-04-01,132.300
1990-05-01,.
1990-06-01,132.700
1990-07-01,.
1990-08-01,134.300
1990-09-01,.
1990-10-01,136.300
1990-11-01,.
1990-12-01,136.300
1991-01-01,.
1991-02-01,138.400
1991-03-01,.
1991-04-01,139.100
1991-05-01,.
1991-06-01,139.400
1991-07-01,.
1991-08-01,139.100
1991-09-01,.
1991-10-01,141.100
1991-11-01,.
1991-12-01,140.800
1992-01-01,.
1992-02-01,141.700
1992-03-01,.
1992-04-01,142.200
1992-05-01,.
1992-06-01,141.700
1992-07-01,.
1992-08-01,142.500
1992-09-01,.
1992-10-01,144.600
1992-11-01,.
1992-12-01,144.500
1993-01-01,.
1993-02-01,146.500
1993-03-01,.
1993-04-01,146.700
1993-05-01,.
1993-06-01,146.600
1993-07-01,.
1993-08-01,148.000
1993-09-01,.
1993-10-01,150.200
1993-11-01,.
1993-12-01,149.000
1994-01-01,.
1994-02-01,150.700
1994-03-01,.
1994-04-01,151.800
1994-05-01,.
1994-06-01,154.000
1994-07-01,.
