DATE,CUURA318SA0L1E
1982-02-01,94.600
1982-03-01,.
1982-04-01,94.900
1982-05-01,.
1982-06-01,97.300
1982-07-01,.
1982-08-01,98.800
1982-09-01,.
1982-10-01,98.700
1982-11-01,.
1982-12-01,99.400
1983-01-01,.
1983-02-01,100.200
1983-03-01,.
1983-04-01,98.900
1983-05-01,.
1983-06-01,99.200
1983-07-01,.
1983-08-01,100.800
1983-09-01,.
1983-10-01,101.100
1983-11-01,.
1983-12-01,100.900
1984-01-01,.
1984-02-01,101.200
1984-03-01,.
1984-04-01,101.800
1984-05-01,.
1984-06-01,102.800
1984-07-01,.
1984-08-01,103.100
1984-09-01,.
1984-10-01,104.200
1984-11-01,.
1984-12-01,105.000
1985-01-01,.
1985-02-01,105.100
1985-03-01,.
1985-04-01,105.300
1985-05-01,.
1985-06-01,105.300
1985-07-01,.
1985-08-01,106.100
1985-09-01,.
1985-10-01,106.400
1985-11-01,.
1985-12-01,106.300
1986-01-01,.
1986-02-01,107.500
1986-03-01,.
1986-04-01,107.500
1986-05-01,.
1986-06-01,107.500
1986-07-01,.
1986-08-01,108.200
1986-09-01,.
1986-10-01,108.500
1986-11-01,.
1986-12-01,108.000
1987-01-01,.
1987-02-01,108.100
1987-03-01,.
1987-04-01,110.600
1987-05-01,.
1987-06-01,110.000
1987-07-01,.
1987-08-01,110.900
1987-09-01,.
1987-10-01,111.500
1987-11-01,.
1987-12-01,111.400
1988-01-01,.
1988-02-01,112.500
1988-03-01,.
1988-04-01,112.600
1988-05-01,.
1988-06-01,113.500
1988-07-01,.
1988-08-01,113.500
1988-09-01,.
1988-10-01,114.200
1988-11-01,.
1988-12-01,115.400
1989-01-01,.
1989-02-01,116.700
1989-03-01,.
1989-04-01,116.700
1989-05-01,.
1989-06-01,116.600
1989-07-01,.
1989-08-01,117.500
1989-09-01,.
1989-10-01,119.100
1989-11-01,.
1989-12-01,119.200
1990-01-01,.
1990-02-01,122.200
1990-03-01,.
1990-04-01,121.900
1990-05-01,.
1990-06-01,122.500
1990-07-01,.
1990-08-01,124.600
1990-09-01,.
1990-10-01,126.000
1990-11-01,.
1990-12-01,125.600
1991-01-01,.
1991-02-01,128.400
1991-03-01,.
1991-04-01,128.500
1991-05-01,.
1991-06-01,128.800
1991-07-01,.
1991-08-01,129.000
1991-09-01,.
1991-10-01,131.600
1991-11-01,.
1991-12-01,132.200
1992-01-01,.
