DATE,CUUSA214SA0L1E
1984-01-01,104.500
1984-07-01,106.700
1985-01-01,109.100
1985-07-01,110.900
1986-01-01,112.900
1986-07-01,114.400
1987-01-01,116.400
1987-07-01,119.600
1988-01-01,122.200
1988-07-01,124.600
1989-01-01,126.600
1989-07-01,128.700
1990-01-01,129.400
1990-07-01,132.300
1991-01-01,135.900
1991-07-01,138.900
1992-01-01,141.000
1992-07-01,142.200
1993-01-01,144.900
1993-07-01,146.000
1994-01-01,148.700
1994-07-01,149.600
1995-01-01,153.100
1995-07-01,154.400
1996-01-01,158.600
1996-07-01,159.400
1997-01-01,162.400
1997-07-01,164.100
1998-01-01,166.600
1998-07-01,167.300
1999-01-01,168.400
1999-07-01,170.500
2000-01-01,173.600
2000-07-01,176.300
2001-01-01,178.700
2001-07-01,181.000
2002-01-01,182.100
2002-07-01,184.000
2003-01-01,184.400
2003-07-01,184.700
2004-01-01,185.600
2004-07-01,186.500
2005-01-01,186.800
2005-07-01,187.600
2006-01-01,189.200
2006-07-01,192.800
2007-01-01,193.192
2007-07-01,194.468
2008-01-01,195.808
2008-07-01,197.196
2009-01-01,199.703
2009-07-01,202.042
2010-01-01,202.860
2010-07-01,204.143
2011-01-01,206.906
2011-07-01,209.320
2012-01-01,211.979
2012-07-01,213.842
2013-01-01,215.974
2013-07-01,215.355
2014-01-01,216.040
2014-07-01,216.269
2015-01-01,218.718
2015-07-01,220.554
2016-01-01,222.293
2016-07-01,223.547
2017-01-01,225.652
2017-07-01,226.282
