DATE,CUURA421SA0L1E
1982-01-01,96.700
1982-02-01,96.700
1982-03-01,97.300
1982-04-01,97.500
1982-05-01,97.100
1982-06-01,98.100
1982-07-01,97.200
1982-08-01,97.200
1982-09-01,97.000
1982-10-01,97.600
1982-11-01,97.500
1982-12-01,96.400
1983-01-01,96.300
1983-02-01,97.200
1983-03-01,97.400
1983-04-01,97.900
1983-05-01,97.800
1983-06-01,98.100
1983-07-01,98.400
1983-08-01,98.800
1983-09-01,99.900
1983-10-01,100.500
1983-11-01,101.000
1983-12-01,101.100
1984-01-01,101.500
1984-02-01,102.000
1984-03-01,102.200
1984-04-01,102.900
1984-05-01,103.200
1984-06-01,103.600
1984-07-01,103.900
1984-08-01,105.200
1984-09-01,105.800
1984-10-01,106.100
1984-11-01,106.600
1984-12-01,106.500
1985-01-01,107.300
1985-02-01,107.900
1985-03-01,107.900
1985-04-01,108.000
1985-05-01,108.500
1985-06-01,109.100
1985-07-01,109.900
1985-08-01,111.300
1985-09-01,111.400
1985-10-01,112.500
1985-11-01,112.700
1985-12-01,113.000
1986-01-01,113.200
1986-02-01,113.600
1986-03-01,115.000
1986-04-01,114.500
1986-05-01,114.500
1986-06-01,115.300
1986-07-01,115.700
1986-08-01,115.900
1986-09-01,117.500
1986-10-01,118.400
1986-11-01,118.300
1986-12-01,117.800
1987-01-01,118.300
1987-02-01,119.000
1987-03-01,120.300
1987-04-01,120.800
1987-05-01,121.000
1987-06-01,120.800
1987-07-01,120.900
1987-08-01,122.000
1987-09-01,122.900
1987-10-01,123.600
1987-11-01,123.800
1987-12-01,124.200
1988-01-01,124.500
1988-02-01,125.700
1988-03-01,126.700
1988-04-01,126.800
1988-05-01,127.300
1988-06-01,127.300
1988-07-01,127.100
1988-08-01,127.500
1988-09-01,128.500
1988-10-01,129.200
1988-11-01,129.900
1988-12-01,130.100
1989-01-01,130.400
1989-02-01,131.300
1989-03-01,131.700
1989-04-01,131.800
1989-05-01,132.700
1989-06-01,133.400
1989-07-01,134.000
1989-08-01,134.100
1989-09-01,135.800
1989-10-01,135.700
1989-11-01,136.100
1989-12-01,136.800
1990-01-01,138.000
1990-02-01,139.300
1990-03-01,140.400
1990-04-01,140.000
1990-05-01,140.000
1990-06-01,140.500
1990-07-01,141.100
1990-08-01,141.400
1990-09-01,142.900
1990-10-01,143.700
1990-11-01,144.000
1990-12-01,144.400
1991-01-01,145.200
1991-02-01,145.900
1991-03-01,146.200
1991-04-01,146.900
1991-05-01,146.400
1991-06-01,146.500
1991-07-01,147.600
1991-08-01,148.100
1991-09-01,149.000
1991-10-01,149.400
1991-11-01,150.200
1991-12-01,149.500
1992-01-01,150.800
1992-02-01,151.400
1992-03-01,151.900
1992-04-01,152.300
1992-05-01,152.400
1992-06-01,152.100
1992-07-01,152.700
1992-08-01,152.900
1992-09-01,153.300
1992-10-01,154.400
1992-11-01,154.300
1992-12-01,154.300
1993-01-01,155.200
1993-02-01,156.500
1993-03-01,156.100
1993-04-01,156.200
1993-05-01,156.200
1993-06-01,155.800
1993-07-01,156.100
1993-08-01,156.300
1993-09-01,156.600
1993-10-01,157.000
1993-11-01,158.100
1993-12-01,158.400
1994-01-01,158.800
1994-02-01,159.100
1994-03-01,159.300
1994-04-01,158.700
1994-05-01,157.800
1994-06-01,157.400
1994-07-01,157.800
1994-08-01,158.100
1994-09-01,158.700
1994-10-01,159.200
1994-11-01,158.700
1994-12-01,158.800
1995-01-01,159.900
1995-02-01,160.300
1995-03-01,160.600
1995-04-01,160.400
1995-05-01,160.900
1995-06-01,160.500
1995-07-01,160.400
1995-08-01,160.400
1995-09-01,160.500
1995-10-01,161.000
1995-11-01,161.100
1995-12-01,160.500
1996-01-01,162.100
1996-02-01,162.600
1996-03-01,163.400
1996-04-01,163.300
1996-05-01,162.600
1996-06-01,162.900
1996-07-01,163.100
1996-08-01,163.100
1996-09-01,164.300
1996-10-01,164.900
1996-11-01,164.700
1996-12-01,164.200
1997-01-01,164.700
1997-02-01,165.000
1997-03-01,165.400
1997-04-01,165.300
1997-05-01,165.100
1997-06-01,164.800
1997-07-01,165.100
1997-08-01,164.800
1997-09-01,165.400
1997-10-01,166.100
1997-11-01,165.700
1997-12-01,166.500
1998-01-01,166.500
1998-02-01,167.800
1998-03-01,168.400
1998-04-01,168.600
1998-05-01,168.500
1998-06-01,168.700
1998-07-01,168.600
1998-08-01,169.200
1998-09-01,169.200
1998-10-01,169.900
1998-11-01,170.200
1998-12-01,170.200
1999-01-01,170.800
1999-02-01,171.500
1999-03-01,171.700
1999-04-01,172.500
1999-05-01,172.300
1999-06-01,171.800
1999-07-01,172.300
1999-08-01,172.400
1999-09-01,173.700
1999-10-01,173.800
1999-11-01,174.000
1999-12-01,174.100
2000-01-01,174.900
2000-02-01,176.200
2000-03-01,176.600
2000-04-01,176.400
2000-05-01,177.000
2000-06-01,176.800
2000-07-01,177.200
2000-08-01,178.100
2000-09-01,178.600
2000-10-01,178.800
2000-11-01,179.000
2000-12-01,178.800
2001-01-01,179.600
2001-02-01,180.500
2001-03-01,181.100
2001-04-01,181.200
2001-05-01,181.200
2001-06-01,181.900
2001-07-01,182.300
2001-08-01,183.200
2001-09-01,183.800
2001-10-01,183.700
2001-11-01,184.300
2001-12-01,183.900
2002-01-01,185.300
2002-02-01,186.200
2002-03-01,186.600
2002-04-01,187.300
2002-05-01,187.600
2002-06-01,187.100
2002-07-01,187.300
2002-08-01,188.400
2002-09-01,188.700
2002-10-01,189.000
2002-11-01,189.200
2002-12-01,189.000
2003-01-01,190.500
2003-02-01,190.800
2003-03-01,191.200
2003-04-01,191.100
2003-05-01,190.300
2003-06-01,190.700
2003-07-01,190.900
2003-08-01,191.500
2003-09-01,192.100
2003-10-01,192.200
2003-11-01,192.100
2003-12-01,191.900
2004-01-01,193.300
2004-02-01,194.600
2004-03-01,195.400
2004-04-01,195.700
2004-05-01,196.300
2004-06-01,196.600
2004-07-01,196.800
2004-08-01,197.200
2004-09-01,199.200
2004-10-01,199.800
2004-11-01,200.300
2004-12-01,199.500
2005-01-01,200.400
2005-02-01,202.300
2005-03-01,203.400
2005-04-01,204.200
2005-05-01,204.400
2005-06-01,204.400
2005-07-01,204.300
2005-08-01,205.600
2005-09-01,207.300
2005-10-01,208.300
2005-11-01,208.300
2005-12-01,207.800
2006-01-01,209.600
2006-02-01,210.200
2006-03-01,211.300
2006-04-01,212.300
2006-05-01,212.800
2006-06-01,211.900
2006-07-01,212.400
2006-08-01,213.000
2006-09-01,215.100
2006-10-01,215.100
2006-11-01,215.000
2006-12-01,214.200
2007-01-01,216.196
2007-02-01,217.809
2007-03-01,218.307
2007-04-01,218.886
2007-05-01,218.837
2007-06-01,218.625
2007-07-01,219.728
2007-08-01,220.477
2007-09-01,220.807
2007-10-01,221.060
2007-11-01,221.000
2007-12-01,220.506
2008-01-01,222.048
2008-02-01,222.762
2008-03-01,223.499
2008-04-01,223.540
2008-05-01,224.626
2008-06-01,225.185
