DATE,CUUSA211SA0L1ES
1984-01-01,102.300
1984-07-01,104.200
1985-01-01,107.000
1985-07-01,109.400
1986-01-01,111.300
1986-07-01,112.800
1987-01-01,114.400
1987-07-01,117.600
1988-01-01,120.600
1988-07-01,123.300
1989-01-01,124.900
1989-07-01,128.300
1990-01-01,129.500
1990-07-01,131.900
1991-01-01,133.500
1991-07-01,135.500
1992-01-01,138.700
1992-07-01,141.400
1993-01-01,143.700
1993-07-01,145.600
1994-01-01,149.500
1994-07-01,151.600
1995-01-01,153.300
1995-07-01,155.800
1996-01-01,158.200
1996-07-01,159.400
1997-01-01,162.300
1997-07-01,162.700
1998-01-01,165.800
1998-07-01,167.900
1999-01-01,170.400
1999-07-01,173.200
2000-01-01,176.000
2000-07-01,178.200
2001-01-01,181.500
2001-07-01,186.200
2002-01-01,189.200
2002-07-01,189.100
2003-01-01,189.900
2003-07-01,191.400
2004-01-01,193.200
2004-07-01,195.000
2005-01-01,197.800
2005-07-01,195.900
2006-01-01,197.000
2006-07-01,200.000
2007-01-01,202.588
2007-07-01,202.395
2008-01-01,206.618
2008-07-01,208.771
2009-01-01,209.553
2009-07-01,212.369
2010-01-01,212.608
2010-07-01,213.683
2011-01-01,215.295
2011-07-01,219.651
2012-01-01,223.081
2012-07-01,224.107
2013-01-01,227.353
2013-07-01,229.166
2014-01-01,231.116
2014-07-01,233.562
2015-01-01,233.674
2015-07-01,236.431
2016-01-01,239.508
2016-07-01,241.592
2017-01-01,244.129
2017-07-01,245.947
2018-01-01,248.786
