DATE,CUURA101SA0L1E
1982-01-01,90.800
1982-02-01,90.900
1982-03-01,90.300
1982-04-01,90.900
1982-05-01,92.100
1982-06-01,94.100
1982-07-01,94.400
1982-08-01,95.200
1982-09-01,96.100
1982-10-01,98.000
1982-11-01,97.800
1982-12-01,96.900
1983-01-01,97.400
1983-02-01,97.800
1983-03-01,98.100
1983-04-01,99.400
1983-05-01,99.600
1983-06-01,99.900
1983-07-01,100.200
1983-08-01,100.400
1983-09-01,101.400
1983-10-01,102.000
1983-11-01,102.600
1983-12-01,102.800
1984-01-01,103.600
1984-02-01,103.800
1984-03-01,104.300
1984-04-01,104.800
1984-05-01,105.100
1984-06-01,105.200
1984-07-01,105.600
1984-08-01,106.700
1984-09-01,107.600
1984-10-01,107.700
1984-11-01,108.200
1984-12-01,108.100
1985-01-01,108.100
1985-02-01,108.900
1985-03-01,109.000
1985-04-01,109.200
1985-05-01,109.700
1985-06-01,109.800
1985-07-01,110.000
1985-08-01,111.000
1985-09-01,111.500
1985-10-01,111.900
1985-11-01,112.900
1985-12-01,113.000
1986-01-01,113.900
1986-02-01,113.900
1986-03-01,114.600
1986-04-01,114.900
1986-05-01,114.600
1986-06-01,115.100
1986-07-01,116.300
1986-08-01,116.800
1986-09-01,117.000
1986-10-01,118.000
1986-11-01,118.000
1986-12-01,118.500
1987-01-01,119.200
1987-02-01,119.600
1987-03-01,120.300
1987-04-01,121.300
1987-05-01,122.000
1987-06-01,122.000
1987-07-01,122.100
1987-08-01,123.200
1987-09-01,124.400
1987-10-01,125.300
1987-11-01,125.700
1987-12-01,125.600
1988-01-01,126.300
1988-02-01,126.000
1988-03-01,126.800
1988-04-01,127.900
1988-05-01,128.100
1988-06-01,128.000
1988-07-01,128.500
1988-08-01,129.000
1988-09-01,131.400
1988-10-01,132.300
1988-11-01,131.800
1988-12-01,131.800
1989-01-01,132.400
1989-02-01,132.800
1989-03-01,134.500
1989-04-01,134.700
1989-05-01,135.300
1989-06-01,135.300
1989-07-01,135.300
1989-08-01,135.800
1989-09-01,137.800
1989-10-01,138.900
1989-11-01,139.400
1989-12-01,139.300
1990-01-01,140.300
1990-02-01,140.500
1990-03-01,142.400
1990-04-01,143.300
1990-05-01,143.100
1990-06-01,142.600
1990-07-01,144.100
1990-08-01,145.900
1990-09-01,146.300
1990-10-01,146.800
1990-11-01,146.700
1990-12-01,147.000
1991-01-01,148.700
1991-02-01,149.800
1991-03-01,149.800
1991-04-01,149.900
1991-05-01,150.300
1991-06-01,150.600
1991-07-01,151.900
1991-08-01,152.500
1991-09-01,153.000
1991-10-01,153.200
1991-11-01,154.300
1991-12-01,154.100
1992-01-01,155.000
1992-02-01,156.000
1992-03-01,157.500
1992-04-01,157.600
1992-05-01,157.200
1992-06-01,157.300
1992-07-01,158.000
1992-08-01,158.900
1992-09-01,159.800
1992-10-01,160.800
1992-11-01,160.600
1992-12-01,160.100
1993-01-01,161.200
1993-02-01,162.300
1993-03-01,162.900
1993-04-01,162.700
1993-05-01,162.300
1993-06-01,162.800
1993-07-01,163.000
1993-08-01,164.200
1993-09-01,164.200
1993-10-01,164.500
1993-11-01,164.200
1993-12-01,164.200
1994-01-01,164.600
1994-02-01,166.800
1994-03-01,167.500
1994-04-01,167.300
1994-05-01,166.700
1994-06-01,167.100
1994-07-01,167.100
1994-08-01,168.200
1994-09-01,168.100
1994-10-01,169.100
1994-11-01,168.800
1994-12-01,168.100
1995-01-01,169.200
1995-02-01,169.900
1995-03-01,170.600
1995-04-01,170.900
1995-05-01,171.400
1995-06-01,171.600
1995-07-01,171.600
1995-08-01,172.400
1995-09-01,173.000
1995-10-01,173.800
1995-11-01,174.100
1995-12-01,173.900
1996-01-01,174.600
1996-02-01,175.600
1996-03-01,176.700
1996-04-01,175.900
1996-05-01,176.400
1996-06-01,176.000
1996-07-01,176.500
1996-08-01,177.400
1996-09-01,178.200
1996-10-01,178.500
1996-11-01,178.400
1996-12-01,178.300
1997-01-01,179.000
1997-02-01,180.200
1997-03-01,181.100
1997-04-01,180.900
1997-05-01,180.600
1997-06-01,180.600
1997-07-01,181.500
1997-08-01,181.400
1997-09-01,182.200
1997-10-01,183.500
1997-11-01,182.900
1997-12-01,182.800
1998-01-01,183.100
1998-02-01,184.300
1998-03-01,184.900
1998-04-01,184.800
1998-05-01,184.800
1998-06-01,184.800
1998-07-01,185.300
1998-08-01,186.100
1998-09-01,186.400
1998-10-01,187.100
1998-11-01,186.800
1998-12-01,186.800
1999-01-01,187.000
1999-02-01,187.400
1999-03-01,188.200
1999-04-01,188.200
1999-05-01,188.000
1999-06-01,188.400
1999-07-01,188.900
1999-08-01,189.100
1999-09-01,189.800
1999-10-01,190.600
1999-11-01,190.300
1999-12-01,190.000
2000-01-01,191.000
2000-02-01,191.700
2000-03-01,193.000
2000-04-01,192.900
2000-05-01,192.700
2000-06-01,192.800
2000-07-01,192.900
2000-08-01,194.100
2000-09-01,195.200
2000-10-01,195.900
2000-11-01,195.500
2000-12-01,194.800
2001-01-01,195.200
2001-02-01,196.300
2001-03-01,198.000
2001-04-01,198.200
2001-05-01,198.000
2001-06-01,198.800
2001-07-01,198.400
2001-08-01,199.400
2001-09-01,199.900
2001-10-01,200.700
2001-11-01,201.100
2001-12-01,200.900
2002-01-01,202.200
2002-02-01,204.300
2002-03-01,205.600
2002-04-01,205.800
2002-05-01,205.500
2002-06-01,204.900
2002-07-01,205.500
2002-08-01,207.100
2002-09-01,207.300
2002-10-01,207.900
2002-11-01,207.100
2002-12-01,206.500
2003-01-01,208.400
2003-02-01,208.900
2003-03-01,209.400
2003-04-01,209.700
2003-05-01,210.100
2003-06-01,210.100
2003-07-01,211.000
2003-08-01,212.500
2003-09-01,212.200
2003-10-01,213.300
2003-11-01,212.600
2003-12-01,212.200
2004-01-01,212.700
2004-02-01,213.900
2004-03-01,216.600
2004-04-01,217.400
2004-05-01,216.900
2004-06-01,217.500
2004-07-01,217.100
2004-08-01,217.400
2004-09-01,218.100
2004-10-01,219.500
2004-11-01,218.900
2004-12-01,218.400
2005-01-01,220.400
2005-02-01,221.200
2005-03-01,225.500
2005-04-01,224.600
2005-05-01,222.900
2005-06-01,221.500
2005-07-01,222.700
2005-08-01,224.400
2005-09-01,223.600
2005-10-01,225.500
2005-11-01,225.100
2005-12-01,224.100
2006-01-01,225.200
2006-02-01,227.000
2006-03-01,229.300
2006-04-01,230.900
2006-05-01,231.500
2006-06-01,231.700
2006-07-01,231.800
2006-08-01,233.000
2006-09-01,232.900
2006-10-01,233.600
2006-11-01,232.900
2006-12-01,232.400
2007-01-01,232.440
2007-02-01,234.378
2007-03-01,234.982
2007-04-01,235.702
2007-05-01,236.297
2007-06-01,236.684
2007-07-01,237.183
2007-08-01,237.655
2007-09-01,237.985
2007-10-01,238.302
2007-11-01,237.875
2007-12-01,237.345
2008-01-01,237.232
2008-02-01,238.911
2008-03-01,240.980
2008-04-01,240.489
2008-05-01,241.256
2008-06-01,241.782
2008-07-01,242.923
2008-08-01,244.264
2008-09-01,245.494
2008-10-01,245.648
2008-11-01,244.187
2008-12-01,243.559
2009-01-01,244.019
2009-02-01,245.552
2009-03-01,246.322
2009-04-01,247.053
2009-05-01,246.949
2009-06-01,246.276
2009-07-01,246.879
2009-08-01,247.763
2009-09-01,248.298
2009-10-01,248.790
2009-11-01,248.244
2009-12-01,247.936
2010-01-01,248.014
2010-02-01,248.241
2010-03-01,249.539
2010-04-01,249.465
2010-05-01,250.063
2010-06-01,250.069
2010-07-01,250.670
2010-08-01,251.262
2010-09-01,251.438
2010-10-01,251.646
2010-11-01,250.990
2010-12-01,250.273
2011-01-01,250.514
2011-02-01,251.600
2011-03-01,252.737
2011-04-01,253.069
2011-05-01,253.955
2011-06-01,254.655
2011-07-01,255.194
2011-08-01,256.774
2011-09-01,257.439
2011-10-01,257.837
2011-11-01,257.213
2011-12-01,256.281
2012-01-01,256.953
2012-02-01,257.658
2012-03-01,259.089
2012-04-01,259.389
2012-05-01,259.883
2012-06-01,260.190
2012-07-01,259.742
2012-08-01,260.930
2012-09-01,261.454
2012-10-01,261.651
2012-11-01,261.476
2012-12-01,261.391
2013-01-01,262.102
2013-02-01,263.660
2013-03-01,264.509
2013-04-01,264.223
2013-05-01,264.766
2013-06-01,264.959
2013-07-01,265.134
2013-08-01,266.055
2013-09-01,266.590
2013-10-01,266.581
2013-11-01,267.262
2013-12-01,266.417
2014-01-01,267.337
2014-02-01,267.424
2014-03-01,268.153
2014-04-01,268.583
2014-05-01,269.379
2014-06-01,269.435
2014-07-01,269.426
2014-08-01,269.964
2014-09-01,270.284
2014-10-01,270.634
2014-11-01,270.148
2014-12-01,269.246
2015-01-01,270.787
2015-02-01,271.518
2015-03-01,272.499
2015-04-01,272.868
2015-05-01,273.386
2015-06-01,273.167
2015-07-01,273.229
2015-08-01,274.190
2015-09-01,275.679
2015-10-01,276.144
2015-11-01,275.574
2015-12-01,274.920
2016-01-01,275.510
2016-02-01,277.089
2016-03-01,277.412
2016-04-01,277.696
2016-05-01,278.532
2016-06-01,278.421
2016-07-01,278.481
2016-08-01,279.577
2016-09-01,279.961
2016-10-01,280.459
2016-11-01,280.534
2016-12-01,280.307
2017-01-01,281.488
2017-02-01,282.446
2017-03-01,282.391
2017-04-01,282.411
2017-05-01,282.368
2017-06-01,282.754
2017-07-01,282.273
2017-08-01,282.983
2017-09-01,283.583
2017-10-01,283.881
2017-11-01,283.483
2017-12-01,283.356
2018-01-01,284.608
2018-02-01,285.833
2018-03-01,285.910
2018-04-01,286.247
2018-05-01,286.474
2018-06-01,286.132
2018-07-01,286.094
2018-08-01,287.031
2018-09-01,288.048
2018-10-01,288.066
2018-11-01,287.979
