DATE,CUURA102SA0L1E
1982-01-01,94.200
1982-02-01,94.000
1982-03-01,93.800
1982-04-01,94.100
1982-05-01,94.600
1982-06-01,95.800
1982-07-01,96.100
1982-08-01,96.300
1982-09-01,97.000
1982-10-01,96.600
1982-11-01,97.200
1982-12-01,96.700
1983-01-01,97.000
1983-02-01,97.200
1983-03-01,98.000
1983-04-01,98.100
1983-05-01,98.300
1983-06-01,98.800
1983-07-01,99.900
1983-08-01,100.400
1983-09-01,101.200
1983-10-01,101.300
1983-11-01,101.800
1983-12-01,101.600
1984-01-01,102.500
1984-02-01,102.800
1984-03-01,103.200
1984-04-01,103.800
1984-05-01,103.900
1984-06-01,104.300
1984-07-01,105.000
1984-08-01,105.700
1984-09-01,106.500
1984-10-01,106.700
1984-11-01,108.000
1984-12-01,107.600
1985-01-01,107.900
1985-02-01,108.900
1985-03-01,109.300
1985-04-01,110.100
1985-05-01,110.900
1985-06-01,110.700
1985-07-01,111.100
1985-08-01,111.500
1985-09-01,111.600
1985-10-01,112.400
1985-11-01,112.900
1985-12-01,112.900
1986-01-01,113.300
1986-02-01,113.900
1986-03-01,114.300
1986-04-01,115.100
1986-05-01,115.500
1986-06-01,115.900
1986-07-01,116.800
1986-08-01,117.100
1986-09-01,118.100
1986-10-01,118.700
1986-11-01,118.700
1986-12-01,119.100
1987-01-01,119.500
1987-02-01,120.100
1987-03-01,120.400
1987-04-01,122.200
1987-05-01,123.100
1987-06-01,123.200
1987-07-01,122.900
1987-08-01,124.200
1987-09-01,124.800
1987-10-01,126.300
1987-11-01,125.800
1987-12-01,126.300
1988-01-01,126.600
1988-02-01,126.700
1988-03-01,127.600
1988-04-01,127.800
1988-05-01,128.700
1988-06-01,128.900
1988-07-01,130.100
1988-08-01,131.000
1988-09-01,132.600
1988-10-01,132.600
1988-11-01,133.800
1988-12-01,134.200
1989-01-01,133.800
1989-02-01,133.300
1989-03-01,133.700
1989-04-01,134.200
1989-05-01,135.200
1989-06-01,135.000
1989-07-01,135.300
1989-08-01,135.300
1989-09-01,136.700
1989-10-01,137.800
1989-11-01,137.200
1989-12-01,136.800
1990-01-01,137.700
1990-02-01,139.000
1990-03-01,140.900
1990-04-01,142.000
1990-05-01,142.400
1990-06-01,141.600
1990-07-01,143.200
1990-08-01,144.100
1990-09-01,144.600
1990-10-01,145.500
1990-11-01,145.800
1990-12-01,146.000
1991-01-01,148.000
1991-02-01,149.000
1991-03-01,149.800
1991-04-01,149.300
1991-05-01,149.800
1991-06-01,149.200
1991-07-01,150.300
1991-08-01,151.700
1991-09-01,152.100
1991-10-01,152.300
1991-11-01,152.500
1991-12-01,154.100
1992-01-01,154.000
1992-02-01,153.800
1992-03-01,155.300
1992-04-01,155.400
1992-05-01,155.700
1992-06-01,156.800
1992-07-01,156.400
1992-08-01,157.400
1992-09-01,157.500
1992-10-01,158.500
1992-11-01,157.700
1992-12-01,157.600
1993-01-01,157.600
1993-02-01,159.100
1993-03-01,160.200
1993-04-01,160.700
1993-05-01,160.300
1993-06-01,161.100
1993-07-01,161.700
1993-08-01,161.700
1993-09-01,162.000
1993-10-01,164.600
1993-11-01,164.000
1993-12-01,163.000
1994-01-01,164.500
1994-02-01,165.400
1994-03-01,166.000
1994-04-01,165.400
1994-05-01,165.600
1994-06-01,166.300
1994-07-01,166.900
1994-08-01,167.200
1994-09-01,167.500
1994-10-01,168.600
1994-11-01,168.600
1994-12-01,166.600
1995-01-01,168.000
1995-02-01,169.500
1995-03-01,169.900
1995-04-01,169.500
1995-05-01,169.200
1995-06-01,169.000
1995-07-01,169.700
1995-08-01,170.800
1995-09-01,171.800
1995-10-01,172.800
1995-11-01,171.800
1995-12-01,171.500
1996-01-01,172.200
1996-02-01,173.700
1996-03-01,174.800
1996-04-01,174.100
1996-05-01,173.300
1996-06-01,173.300
