DATE,CUUSA104SA0L1E
1984-01-01,105.000
1984-07-01,106.400
1985-01-01,107.800
1985-07-01,109.600
1986-01-01,111.200
1986-07-01,112.900
1987-01-01,114.300
1987-07-01,116.800
1988-01-01,119.100
1988-07-01,121.200
1989-01-01,123.400
1989-07-01,126.100
1990-01-01,128.400
1990-07-01,131.900
1991-01-01,134.100
1991-07-01,137.600
1992-01-01,140.100
1992-07-01,143.000
1993-01-01,145.500
1993-07-01,146.700
1994-01-01,149.900
1994-07-01,152.400
1995-01-01,155.300
1995-07-01,157.600
1996-01-01,159.500
1996-07-01,161.500
1997-01-01,163.700
1997-07-01,165.400
1998-01-01,166.900
1998-07-01,169.700
1999-01-01,171.300
1999-07-01,172.700
2000-01-01,176.100
2000-07-01,177.300
2001-01-01,179.100
2001-07-01,180.600
2002-01-01,182.100
2002-07-01,184.000
2003-01-01,184.200
2003-07-01,184.700
2004-01-01,186.800
2004-07-01,189.100
2005-01-01,191.900
2005-07-01,193.700
2006-01-01,196.100
2006-07-01,198.900
2007-01-01,200.459
2007-07-01,202.408
2008-01-01,205.577
2008-07-01,209.341
2009-01-01,210.869
2009-07-01,214.141
2010-01-01,213.831
2010-07-01,215.379
2011-01-01,218.835
2011-07-01,223.122
2012-01-01,228.925
2012-07-01,230.391
2013-01-01,233.029
2013-07-01,234.200
2014-01-01,236.245
2014-07-01,237.177
2015-01-01,239.945
2015-07-01,243.803
2016-01-01,246.681
2016-07-01,249.813
2017-01-01,252.765
2017-07-01,253.437
