DATE,CUUSA425SA0L1E
1984-01-01,103.200
1985-01-01,107.600
1986-01-01,111.700
1987-01-01,115.200
1988-01-01,120.000
1989-01-01,125.600
1990-01-01,132.700
1991-01-01,140.900
1992-01-01,148.500
1993-01-01,154.500
1994-01-01,159.400
1995-01-01,164.700
1996-01-01,169.700
1997-01-01,176.200
1998-01-01,179.800
1999-01-01,185.500
2000-01-01,190.700
2001-01-01,196.000
2002-01-01,197.100
2003-01-01,198.100
2004-01-01,201.600
2005-01-01,205.100
2006-01-01,209.300
2007-01-01,215.709
2008-01-01,220.725
2009-01-01,223.998
2010-01-01,225.609
2011-01-01,229.239
2012-01-01,234.536
2013-01-01,241.608
2014-01-01,247.464
2015-01-01,253.870
2016-01-01,262.501
2017-01-01,273.867
