DATE,CUURA422SA0L1E
1982-02-01,95.500
1982-03-01,.
1982-04-01,97.300
1982-05-01,.
1982-06-01,98.900
1982-07-01,.
1982-08-01,98.400
1982-09-01,.
1982-10-01,97.600
1982-11-01,.
1982-12-01,95.100
1983-01-01,.
1983-02-01,97.100
1983-03-01,.
1983-04-01,97.500
1983-05-01,.
1983-06-01,98.200
1983-07-01,.
1983-08-01,99.200
1983-09-01,.
1983-10-01,99.500
1983-11-01,.
1983-12-01,100.400
1984-01-01,.
1984-02-01,101.800
1984-03-01,.
1984-04-01,103.100
1984-05-01,.
1984-06-01,103.700
1984-07-01,.
1984-08-01,105.800
1984-09-01,.
1984-10-01,107.100
1984-11-01,.
1984-12-01,106.700
1985-01-01,.
1985-02-01,108.200
1985-03-01,.
1985-04-01,108.500
1985-05-01,.
1985-06-01,109.000
1985-07-01,.
1985-08-01,110.300
1985-09-01,.
1985-10-01,111.400
1985-11-01,.
1985-12-01,111.500
1986-01-01,.
1986-02-01,113.600
1986-03-01,.
1986-04-01,114.100
1986-05-01,.
1986-06-01,115.200
1986-07-01,.
1986-08-01,116.500
1986-09-01,.
1986-10-01,117.600
1986-11-01,.
1986-12-01,116.600
1987-01-01,117.000
1987-02-01,118.100
1987-03-01,118.200
1987-04-01,119.200
1987-05-01,119.000
1987-06-01,118.900
1987-07-01,119.900
1987-08-01,120.200
1987-09-01,120.800
1987-10-01,121.400
1987-11-01,122.100
1987-12-01,121.900
1988-01-01,122.700
1988-02-01,122.200
1988-03-01,123.500
1988-04-01,122.800
1988-05-01,123.100
1988-06-01,123.400
1988-07-01,124.300
1988-08-01,125.600
1988-09-01,125.500
1988-10-01,125.800
1988-11-01,126.400
1988-12-01,126.600
1989-01-01,127.900
1989-02-01,127.700
1989-03-01,130.000
1989-04-01,128.700
1989-05-01,128.900
1989-06-01,128.800
1989-07-01,130.600
1989-08-01,131.400
1989-09-01,129.900
1989-10-01,130.500
1989-11-01,130.700
1989-12-01,130.800
1990-01-01,131.600
1990-02-01,132.300
1990-03-01,133.400
1990-04-01,134.000
1990-05-01,133.700
1990-06-01,134.500
1990-07-01,135.000
1990-08-01,135.700
1990-09-01,136.500
1990-10-01,136.800
1990-11-01,137.000
1990-12-01,137.600
1991-01-01,139.200
1991-02-01,139.200
1991-03-01,139.500
1991-04-01,139.000
1991-05-01,139.100
1991-06-01,140.600
1991-07-01,141.800
1991-08-01,143.100
1991-09-01,143.700
1991-10-01,143.500
1991-11-01,143.600
1991-12-01,143.400
1992-01-01,144.400
1992-02-01,145.100
1992-03-01,146.300
1992-04-01,145.900
1992-05-01,145.800
1992-06-01,145.600
1992-07-01,146.000
1992-08-01,146.400
1992-09-01,147.500
1992-10-01,148.300
1992-11-01,148.500
1992-12-01,148.400
1993-01-01,148.900
1993-02-01,149.500
1993-03-01,149.800
1993-04-01,151.100
1993-05-01,151.200
1993-06-01,150.400
1993-07-01,150.300
1993-08-01,150.600
1993-09-01,151.000
1993-10-01,151.100
1993-11-01,151.800
1993-12-01,151.500
1994-01-01,152.000
1994-02-01,152.000
1994-03-01,152.900
1994-04-01,152.500
1994-05-01,152.900
1994-06-01,152.700
1994-07-01,153.300
1994-08-01,153.800
1994-09-01,153.800
1994-10-01,153.500
1994-11-01,153.900
1994-12-01,153.200
1995-01-01,154.200
1995-02-01,154.700
1995-03-01,155.400
1995-04-01,155.800
1995-05-01,155.600
1995-06-01,156.100
1995-07-01,155.800
1995-08-01,156.200
1995-09-01,157.000
1995-10-01,157.200
1995-11-01,157.400
1995-12-01,156.900
1996-01-01,158.000
1996-02-01,158.500
1996-03-01,159.000
1996-04-01,159.400
1996-05-01,159.500
1996-06-01,159.600
1996-07-01,160.500
1996-08-01,160.200
1996-09-01,161.200
1996-10-01,161.900
1996-11-01,162.400
1996-12-01,161.500
1997-01-01,162.300
1997-02-01,162.900
1997-03-01,164.500
1997-04-01,164.900
1997-05-01,165.200
1997-06-01,165.600
1997-07-01,166.500
1997-08-01,166.700
1997-09-01,167.000
1997-10-01,167.900
1997-11-01,168.200
1997-12-01,168.000
1998-01-01,.
1998-02-01,169.600
1998-03-01,.
1998-04-01,171.300
1998-05-01,.
1998-06-01,171.900
1998-07-01,.
1998-08-01,173.400
1998-09-01,.
1998-10-01,174.500
1998-11-01,.
1998-12-01,174.400
1999-01-01,.
1999-02-01,177.100
1999-03-01,.
1999-04-01,178.300
1999-05-01,.
1999-06-01,178.400
1999-07-01,.
1999-08-01,179.800
1999-09-01,.
1999-10-01,182.200
1999-11-01,.
1999-12-01,181.900
2000-01-01,.
2000-02-01,184.000
2000-03-01,.
