DATE,CUUSA209SA0L1E
1984-01-01,102.800
1984-07-01,105.200
1985-01-01,107.600
1985-07-01,109.500
1986-01-01,110.900
1986-07-01,112.700
1987-01-01,114.600
1987-07-01,116.400
1988-01-01,118.100
1988-07-01,120.800
1989-01-01,123.900
1989-07-01,126.600
1990-01-01,130.200
1990-07-01,131.600
1991-01-01,134.700
1991-07-01,136.800
1992-01-01,138.600
1992-07-01,140.800
1993-01-01,142.800
1993-07-01,144.200
1994-01-01,146.300
1994-07-01,149.400
1995-01-01,152.100
1995-07-01,153.800
1996-01-01,155.500
1996-07-01,157.100
1997-01-01,159.700
1997-07-01,160.900
1998-01-01,162.200
1998-07-01,164.000
1999-01-01,165.400
1999-07-01,166.600
2000-01-01,168.600
2000-07-01,169.300
2001-01-01,172.500
2001-07-01,174.000
2002-01-01,176.800
2002-07-01,178.700
2003-01-01,180.500
2003-07-01,182.500
2004-01-01,186.800
2004-07-01,188.600
2005-01-01,191.500
2005-07-01,191.300
2006-01-01,191.900
2006-07-01,193.100
2007-01-01,194.906
2007-07-01,195.963
2008-01-01,197.529
2008-07-01,198.945
2009-01-01,201.062
2009-07-01,201.541
2010-01-01,204.196
2010-07-01,205.642
2011-01-01,207.266
2011-07-01,209.264
2012-01-01,211.466
2012-07-01,213.571
2013-01-01,214.721
2013-07-01,216.068
2014-01-01,217.354
2014-07-01,217.761
2015-01-01,218.738
2015-07-01,220.008
2016-01-01,222.856
2016-07-01,224.403
2017-01-01,225.552
2017-07-01,225.908
2018-01-01,228.975
