DATE,CUUSA321SA0L1E
1987-01-01,100.000
1988-01-01,104.000
1989-01-01,107.700
1990-01-01,111.400
1991-01-01,116.900
1992-01-01,120.800
1993-01-01,126.500
1994-01-01,128.800
1995-01-01,132.100
1996-01-01,133.600
1997-01-01,136.100
1998-01-01,141.100
1999-01-01,143.900
2000-01-01,147.700
2001-01-01,150.900
2002-01-01,157.000
2003-01-01,160.400
2004-01-01,162.600
2005-01-01,167.600
2006-01-01,173.800
2007-01-01,182.543
2008-01-01,185.938
2009-01-01,188.123
2010-01-01,190.980
2011-01-01,193.644
2012-01-01,198.460
2013-01-01,202.899
2014-01-01,206.828
2015-01-01,210.850
2016-01-01,215.585
2017-01-01,221.132
