ID,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017
35620,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,19567410,19566480,19602914,19763868,19897967,20023110,20125350,20215694,20275179,20320876,30533,137840,137233,137935,144591,157549,161469,160842,-24468,-91781,-116785,-119027,-151480,-175155,-201936,-208863,6065,46059,20448,18908,-6889,-17606,-40467,-48021
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,12828837,12828961,12841606,12939463,13041538,13132253,13209445,13283824,13328261,13353907,11337,53971,48935,49350,55763,62454,63693,63083,-21747,-50705,-36544,-46968,-68541,-75162,-93209,-109669,-10410,3266,12391,2382,-12778,-12708,-29516,-46586
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,9461105,9461541,9471312,9497177,9525765,9548402,9560874,9557503,9546326,9533040,4580,22272,22857,22441,25436,28629,28645,28302,-10736,-53316,-48927,-49919,-64484,-81242,-85681,-85177,-6156,-31044,-26070,-27478,-39048,-52613,-57036,-56875
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,6426214,6426231,6451833,6571537,6706020,6817243,6950715,7101031,7253424,7399662,4048,20964,20514,22459,26339,29925,30917,30798,6427,39995,55736,32500,49515,62489,64131,58829,10475,60959,76250,54959,75854,92414,95048,89627
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area,5965343,5965693,5971189,5996406,6020821,6035329,6053028,6066589,6077152,6096120,3850,17372,18607,19017,21256,23042,23489,23269,-3531,-12863,-14753,-21386,-22097,-26444,-27778,-18149,319,4509,3854,-2369,-841,-3402,-4289,5120
26420,"Houston-The Woodlands-Sugar Land, TX",Metropolitan Statistical Area,5920416,5920486,5947419,6057947,6183726,6329553,6496862,6664187,6798010,6892427,5782,28431,28620,31993,37432,41830,43203,43094,7072,23079,39090,55934,67995,62411,27796,-10372,12854,51510,67710,87927,105427,104241,70999,32722
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,5636232,5636361,5665818,5776337,5872227,5962606,6029537,6091560,6150681,6216589,8804,37183,39715,39358,41048,45410,45606,44760,7761,23864,6843,3143,-23209,-31483,-31492,-21543,16565,61047,46558,42501,17839,13927,14114,23217
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,5564635,5566299,5583888,5696288,5780894,5862992,5943656,6026044,6107433,6158824,13455,60278,61307,64438,71799,78694,81988,81824,190,31422,2461,-1244,-13032,-16670,-19589,-47177,13645,91700,63768,63194,58767,62024,62399,34647
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,5286728,5286743,5303327,5373016,5451561,5517034,5605117,5702331,5795723,5884736,3758,16196,15957,15858,17960,20107,20520,20451,2099,11531,21137,12005,31800,39452,36857,33288,5857,27727,37094,27863,49760,59559,57377,53739
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,4552402,4552596,4565220,4608303,4653023,4699912,4741544,4775755,4805942,4836531,5929,26664,27660,29520,31968,34497,35345,35142,1634,-167,89,1041,-6102,-14604,-19349,-18252,7563,26497,27749,30561,25866,19893,15996,16890
