Metro,2011,2012,2013,2014,2015,2016,2017
"New York-Newark-Jersey City, NY-NJ-PA",0.008210718,0.006785058,0.006289235,0.0051061,0.004489065,0.002942516,0.00225384
"Los Angeles-Long Beach-Anaheim, CA",0.007620309,0.007888658,0.006955851,0.005878047,0.005630744,0.003345196,0.001924182
"Chicago-Naperville-Elgin, IL-IN-WI",0.002730878,0.003010158,0.002376397,0.001306187,-0.000352583,-0.001169448,-0.00139174
"Dallas-Fort Worth-Arlington, TX",0.018553487,0.020464467,0.016585546,0.019578589,0.021625977,0.021460686,0.020161237
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.004223112,0.004071606,0.002409638,0.002932566,0.002240366,0.001741176,0.003121199
"Houston-The Woodlands-Sugar Land, TX",0.018584196,0.020762645,0.023582384,0.026432988,0.025754741,0.020080919,0.013888917
"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.019506274,0.016600486,0.015390924,0.011225125,0.010286528,0.009705396,0.010715561
"Miami-Fort Lauderdale-West Palm Beach, FL",0.020129344,0.01485283,0.01420161,0.013758163,0.013861502,0.013506207,0.008414501
"Atlanta-Sandy Springs-Roswell, GA",0.013140619,0.014618419,0.012009955,0.015965644,0.017343795,0.016377864,0.015358394
"Boston-Cambridge-Newton, MA-NH",0.009437223,0.009704223,0.010077105,0.008858038,0.00721516,0.006320885,0.006364829
"San Francisco-Oakland-Hayward, CA",0.012522527,0.014537584,0.014685744,0.014849018,0.013494666,0.00882184,0.006018203
"Detroit-Warren-Dearborn, MI",-0.000621958,0.001638756,0.000673938,0.001122474,-0.000251896,0.000833744,0.001656576
"Riverside-San Bernardino-Ontario, CA",0.012970293,0.010035198,0.008461086,0.010880881,0.01064175,0.011352656,0.012604194
"Phoenix-Mesa-Scottsdale, AZ",0.010395448,0.017381491,0.015937993,0.01825437,0.01955684,0.019822318,0.019096921
"Seattle-Tacoma-Bellevue, WA",0.014159022,0.015828441,0.016429163,0.015678644,0.016747705,0.019861042,0.016931832
"Minneapolis-St. Paul-Bloomington, MN-WI",0.009964545,0.009903415,0.010552021,0.010099474,0.008043854,0.010209509,0.012184042
"San Diego-Carlsbad, CA",0.011590335,0.012749672,0.011549161,0.012545538,0.010184302,0.008253993,0.006175389
"St. Louis, MO-IL",0.001402938,0.000845809,0.00125423,0.00152055,0.001219729,-0.000191998,0.000198092
"Tampa-St. Petersburg-Clearwater, FL",0.014574861,0.006378259,0.008901066,0.015425078,0.019513247,0.02110765,0.018071315
"Baltimore-Columbia-Towson, MD",0.007168469,0.007793873,0.005551313,0.004632005,0.003811201,0.002143801,0.002551563
"Denver-Aurora-Lakewood, CO",0.017706709,0.01789563,0.018954701,0.019848994,0.020868222,0.015900835,0.01275629
"Pittsburgh, PA",0.001121349,0.000269958,-0.000121173,-0.001388997,-0.003207877,-0.003236505,-0.003488736
"Portland-Vancouver-Hillsboro, OR-WA",0.012072803,0.011668034,0.01055148,0.014357233,0.016963906,0.017177956,0.012408062
"Charlotte-Concord-Gastonia, NC-SC",0.014836299,0.016683953,0.017531439,0.018042567,0.020186874,0.021205265,0.020111338
"Sacramento--Roseville--Arden-Arcade, CA",0.009319223,0.008608984,0.00950416,0.011696522,0.012251642,0.012502139,0.012918514
"San Antonio-New Braunfels, TX",0.018885154,0.019499731,0.019443345,0.021291052,0.021746516,0.019821744,0.019686252
"Orlando-Kissimmee-Sanford, FL",0.017345256,0.023428339,0.020095501,0.024537723,0.027105208,0.02605783,0.023029079
"Cincinnati, OH-KY-IN",0.002273662,0.00262044,0.003835805,0.004818213,0.004244927,0.004803602,0.006026235
"Cleveland-Elyria, OH",-0.003163488,-0.002068641,0.000548745,0.000185396,-0.001638252,-0.001346201,-0.0005927
"Kansas City, MO-KS",0.005695804,0.006726818,0.007622268,0.007576779,0.007546862,0.010148085,0.010696066
"Las Vegas-Henderson-Paradise, NV",0.006971662,0.015137901,0.014910659,0.019217139,0.021956028,0.021984239,0.021956912
"Columbus, OH",0.010374194,0.010644075,0.012573434,0.013870287,0.012378531,0.011753175,0.0155097
"Indianapolis-Carmel-Anderson, IN",0.009489715,0.009713525,0.012559448,0.009029737,0.008129487,0.009431911,0.011468818
"San Jose-Sunnyvale-Santa Clara, CA",0.015076484,0.015361158,0.015662323,0.013439264,0.011955665,0.006738525,0.003793743
"Austin-Round Rock, TX",0.030746833,0.030301975,0.026688601,0.031179255,0.03013456,0.029875289,0.026822346
